"This file (cmr-smslareunion-tei-v1-answers.csv) collects the answers to the questionnaire ""cmr-smslareunion-tei-v1-questionnaire.pdf"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;SEXE;AGE;LG_MAT_S;LG_MAT_C;LG_MAT_F;LG_MAT_O;LG_MAT_OTXT;LG_HOME_S;LG_HOME_C;LG_HOME_F;LG_HOME_O;LG_HOME_OTXT;LG_FRIEND_S;LG_FRIEND_C;LG_FRIEND_F;LG_FRIEND_O;LG_FRIEND_OTXT;LG_JOB_S;LG_JOB_C;LG_JOB_F;LG_JOB_O;LG_JOB_OTXT;STUDIES;STUDIES_TYPE;JOB;ZIP_HOME;ZIP_JOB;SMS_TIME;COUNT_WEEK;DICO;CHAT;FORUM;MAIL;WEB;DEST_JEUX;DEST_AMIS;DEST_FAM;DEST_COLL;DEST_O;DEST_OTXT;LG_DEST;LG_DESTF_S;LG_DESTF_C;LG_DESTF_F;LG_DESTF_O;LG_DESTF_OTXT;LG_DESTCON_S;LG_DESTCON_C;LG_DESTCON_F;LG_DESTCON_O;LG_DESTCON_OTXT;LG_DESTFAM_S;LG_DESTFAM_C;LG_DESTFAM_F;LG_DESTFAM_O;LG_DESTFAM_OTXT;LG_DESTCOL_S;LG_DESTCOL_C;LG_DESTCOL_F;LG_DESTCOL_O;LG_DESTCOL_OTXT;LG_DESTO_O;LG_DESTO_OTXT;DECODE;LG_SMS_NO;LG_SMS_FR;LG_SMS_CR;LG_SMS_O;LG_SMS_OTXT;LG_MIX;LG_MIX_S;LG_MIX_C;LG_MIX_F;LG_MIX_O;LG_MIX_OTXT;H_LEC;LEC_T_JOU;LEC_T_BD;LEC_T_WEB;LEC_T_SONG;LEC_T_BOOK;LEC_T_O;LEC_T_OTXT;LEC_CR;LEC_CR_JOU;LEC_CR_BD;LEC_CR_WEB;LEC_CR_SONG;LEC_CR_BOOK;LEC_CR_O;LEC_CR_OTXT;REDAC;REDAC_MOTS;REDAC_TRA;REDAC_JI;REDAC_O;REDAC_OTXT;REDAC_COMMENT;REDAC_CR;REDAC_CR_COMMENT;POB_PARTICIP;POB_COMMENT;FORM_DATE
cmr-slr-c001-p0017;m;23;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac;p;sans;97430;;more5;20to50;no;tsjours;rare;regul;rare;4;1;2;3;0;;yes;;yes;;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;;;yes;;;;no;;;;;;;;yes;;yes;;;;lettre de motivation ;yes;avc la fami en france;692941317,1;gcri la fason la plu rapid et pui sa scrompren facilman;15/04/2008 17:29
cmr-slr-c001-p0018;f;18;;;yes;;;;;yes;;;;;yes;;;;;yes;;;lyc;p;arti;97411;;more5;10to20;no;rare;jms;regul;jms;4;1;2;3;0;;yes;;;yes;;;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;;;;yes;;;yes;;;1;yes;yes;;;yes;;;yes;yes;yes;;;yes;;;yes;yes;;;;;pour éviter d'oublier de faire quelque chose;no;;;en abréviation afin de racourssir les caractères sinon j'écris correctement pour être compréhenssible;15/04/2008 17:29
cmr-slr-c001-p0019;f;22;;yes;;;;;;yes;;;;;yes;;;;;yes;;;lyc;g;sans;97430;;more5;20to50;no;tsjours;regul;regul;jms;5;2;1;0;0;;yes;;;yes;;;;yes;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;;;;;yes;;;no;;;;;;;;yes;;yes;;;;administratif, assez régulièrement;no;;;rapide et efficace. J'utilise le language SMS selon le destinataire;15/04/2008 17:30
cmr-slr-c001-p0020;f;16;;;yes;;;;yes;;;;;;yes;;;;;yes;;;lyc;g;sans;97420;97420;3to5;50to100;yes;regul;regul;rare;jms;0;3;2;0;1;MON CHERI;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;;;;yes;;;yes;yes;ANGLAIS ESPAGNOL;1;;;yes;;yes;;;yes;yes;;;yes;;;;yes;yes;;;;;TOUS LES JOURS ET TRES FREQUEMENT;no;;;la plus part du temps j'écris en bon français mais cela m'arrive de communiquer en language SMS;15/04/2008 17:34
cmr-slr-c001-p0021;f;20;;yes;;;;;yes;yes;;;;yes;;;;;yes;yes;;;bac2;g;sans;97430;97450;more5;10to20;yes;rare;tsjours;tsjours;rare;0;2;1;0;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;yes;;;yes;;yes;yes;;;4;yes;;yes;;yes;;;no;;;;;;;;yes;;yes;;;;tous les jours pendant les cours et chez moi le soir(je suis éudiante);no;;0692506062,0692155531,0692174498,0692196479;je reduis le plus que possible pour que ça entre sur une seule page sauf quand c gratuit j'en profite;15/04/2008 17:35
cmr-slr-c001-p0022;f;24;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;bac4;g;sans;97490;97487;more5;20to50;no;regul;rare;regul;jms;4;1;3;2;0;;yes;;yes;yes;;;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;yes;yes;;yes;;;no;;;;;;;;yes;yes;;;;;comme pense bête;yes;des petits mots entre amis;;sans trop économiser toutes les lettres sinon cela devient incomprehensible;15/04/2008 17:39
cmr-slr-c001-p0023;f;19;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac1;g;sans;97490;97400;more5;10to20;no;tsjours;rare;rare;jms;0;1;2;0;1;mon petit ami;yes;;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;4;yes;;yes;yes;;yes;les notices de médicament;yes;;;;;;yes;certaines publicités;yes;yes;;;;;pour ne pas risquer d'oublier à chaque fois que l'occasion se présente environ cinq ois par jour minimum;yes;les petits mots pour mon frère ou ma soeur;;j'essaie de m'adapter le plus possible! avec des personne que je ne connais pas ce sera en français avec mes amis proche j'ecris en abregé le plus possible! sinon c'est quelque peu abrégé pour les autres autrement j'ecris en toutes lettres dans ces cas là j'évite car j'ai l'habitude de certaines abreviations;15/04/2008 17:39
cmr-slr-c001-p0024;f;30;;yes;yes;;;;;;yes;ANGLAIS;;;yes;;;;yes;yes;;;bac3;g;admin;97400;97400;more5;5to10;yes;tsjours;rare;tsjours;jms;4;2;1;3;5;connaissances;yes;;;yes;;;;;yes;;;;;yes;yes;ANGLAIS;;;yes;;;;;fac;yes;;;;;no;;;;;;2;yes;;yes;yes;yes;yes;DES MAGASINES DE BEAUTE ET DE MAISON;no;;;;;;;;yes;yes;;;;;Pour moi parce que j'aime écrire, ou pour mon chéri, deux à trois fois par semaines;no;;;lorsque j'écris mes sms, je m'évertue à garder un français correcte et je m'oblige à ne pas utiliser des mots raccourcis. je ne veux pas perdre mon français;15/04/2008 17:40
cmr-slr-c001-p0025;f;18;;yes;;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac1;g;sans;97438;;more5;20to50;no;regul;jms;regul;rare;4;2;3;0;1;mon petit ami;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;4;yes;;yes;yes;yes;;;yes;;yes;;;;;;yes;;;yes;;;j'ai dans un journal intime pour confiance des peine des joies ect tout ce ki ce passe dans ma journee tout les soirs;yes;j'ai regulierement dans mon journal intime dans le but de dire ce ke jai a dit mais en ma langue maternelle car je veux pa perdre ma langue ;692196007;en fait quand j'ai un sms l'ecriture viens tout seul ca devient auromatique il y plus a reflechir ;15/04/2008 17:45
cmr-slr-c001-p0026;m;49;;;yes;;;;yes;;;;;yes;yes;;;;yes;yes;;;lyc;p;sans;97490;97400;1to3;5to10;no;regul;rare;tsjours;jms;5;2;3;4;1;amies......;no;;;;;;;;;;;;;;;;;;;;;;;moy;yes;;;;;no;;;;;;2;yes;;yes;;yes;yes;ETUDES PARTICULIERES ;no;;;;;;;;no;;;;;;;no;;;au d;15/04/2008 17:47
cmr-slr-c001-p0027;f;14;;;yes;;;;yes;;;;;yes;yes;;;;;yes;;;col;g;enssec;97410;97429;less1;10to20;no;jms;jms;regul;jms;4;1;2;3;0;;yes;;yes;;;;;;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;;;;;yes;;;no;;;;;;;;no;;;;;;;no;;692398529;j'écris le plus court possible ;15/04/2008 17:57
cmr-slr-c001-p0028;f;18;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;lyc;p;sans;97417;;more5;10to20;no;jms;jms;regul;jms;5;2;4;3;1;amoureux;yes;;yes;yes;;;;yes;yes;;;;;yes;;;;yes;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;yes;yes;;;yes;yes;;;;;;;yes;yes;yes;;;;Pour informer;yes;texto;;en abrévation;15/04/2008 18:01
cmr-slr-c001-p0029;f;19;;yes;yes;;;;yes;;;;;yes;yes;;;;;yes;;;bac;p;sans;97440;97400;more5;20to50;no;rare;regul;tsjours;rare;4;1;2;3;5;rencontre;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;yes;;;no;;;;;;1;yes;yes;yes;;;;;no;;;;;;;;yes;yes;yes;;;;parce que j'aime écrire;yes;pour dire des trucs sans raison;;"j'abrege les mots style "" cmt sav"" pour dire "" comment sa va"" ou sinon je colle des mots comme "" je sais pas "" je dis ""jsé po""";15/04/2008 18:10
cmr-slr-c001-p0030;f;22;;yes;;;;;yes;;;;;;yes;;;;;yes;;;bac2;g;sans;97430;;more5;5to10;no;jms;jms;regul;jms;3;2;1;0;4;mon conjoint;yes;;;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;4;;;;;;yes;cours dans des livres;no;;;;;;;;yes;;;yes;yes;cours en amphithéâtre;tous les jours quand il s'agit des cours, notamment les travaux dirigés qui prennent tout mon temps et parfois pour le journal intime pour le plaisir de raconter, d'écrire.;no;;612108650;Quand j'envoie un sms, j'algèbre le plus possible, que ce soit en créole ou en français,pour que mon sms entre pour un message, car jprends également en compte le prix du sms. ;15/04/2008 18:30
cmr-slr-c001-p0031;f;16;;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;lyc;p;sans;97400;97400;more5;20to50;no;rare;rare;regul;rare;5;1;2;0;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;;;;yes;;yes;yes;yes;anglais;1;yes;yes;yes;;yes;;;no;;;;;;;;yes;yes;;;;;raconter l'instant present;no;;;clair et despi;15/04/2008 18:35
cmr-slr-c001-p0032;f;17;;yes;yes;;;;yes;;;;;yes;;;;;;yes;;;lyc;g;sans;97450;97450;3to5;5to10;no;tsjours;rare;rare;jms;0;2;3;4;1;petit ami;yes;;;yes;;;;;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;2;yes;;yes;yes;yes;;;no;;;;;;;;yes;yes;;yes;;;pour ne pas oublier les règles du français afin de ne pas faire des fautes lors des devoirs au lycée;no;;;j'écris des sms le plus rapidement et en fesant le maximum d'abréviation pour que mon sms rentre que sur une seule page et donc ça utilise moins de crédits.;15/04/2008 18:40
cmr-slr-c001-p0033;f;21;;;yes;;;;;yes;;;;;yes;;;;;yes;;;bac;g;sans;97438;97400;more5;5to10;no;tsjours;tsjours;tsjours;jms;5;1;2;4;3;amoureux;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;moy;;yes;;;;yes;;yes;yes;;;1;yes;yes;yes;yes;yes;;;no;;;;;;;;yes;yes;yes;;yes;certains cours;"Pour les anniversaire, les cartes de voeux etc
Pour les cours ou il y a trop de graphique..";no;;;J'essaie d'écrire le minimum possible en style SMS, je l'utilise pour quelques mots lorsqu'il ne reste pas trop de place et que je ne veux écrire qu'un mot supplémentaire, je n'écris jamais en style SMS pour les texto important (amoureux, pensées douces pr mes amis, etc);15/04/2008 18:43
cmr-slr-c001-p0034;m;24;;yes;;;;;;yes;;;;yes;;;;;yes;yes;;;bac2;g;inf;97412;97400;more5;50to100;no;regul;jms;tsjours;regul;3;2;1;0;0;;yes;;yes;yes;;;;yes;;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;9;yes;;yes;;yes;;;yes;yes;yes;yes;yes;;;;yes;;yes;;;;tous les jours;yes;entre vamis;0692601452,0692275333,0692417475;un max de choses dans un seul sms;15/04/2008 18:45
cmr-slr-c001-p0035;f;20;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac2;p;sans;97410;97460;more5;20to50;no;regul;jms;regul;jms;5;2;3;4;1;CHERI;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;yes;;;;no;;;;;;;;yes;yes;yes;;;;"OBLIGATION DE PRISE DE NOTES, POUR EVITER DE PARLER DEVANT LE PROF EN COURS;CA FAIT PLUS DISCRET,TOUS LES JOURS ACHAK EURE DE COURS; ET PUIS PR DES PAPIERS ADMINISTRATIFS";yes;petits mots, lettre,;;ben j'écris vite, tres vite, sans regarder le clavier.je fais beaucoup d'abrevisations ke ce soi en créole et en francais, on me reproche beaucoup de trop abrevier dailleurs;15/04/2008 18:50
cmr-slr-c001-p0036;m;19;;;yes;;;;;yes;;;;yes;yes;;;;;yes;;;lyc;g;sans;97460;97460;3to5;5to10;no;tsjours;rare;rare;jms;4;2;1;3;0;;yes;;yes;;;;;;yes;;;;;yes;;;;;yes;;;;;fac;;yes;;;;no;;;;;;1;yes;;yes;yes;;;;no;;;;;;;;yes;yes;;;;;parler avec des amis à chaque heure de cours;no;;;lorsque j'écris un SMS, je l'écrit très abrégés afin d'avoir le plus de place possible. c'est vraiment, vraiment très abrégés.;15/04/2008 19:01
cmr-slr-c001-p0037;m;19;;yes;yes;;;;yes;;;;;yes;yes;;;;;yes;;;bac;g;sans;97410;;more5;10to20;no;regul;rare;rare;jms;3;1;2;4;5;radio;yes;;yes;;;;;yes;;;;;yes;;;;;;yes;;;;;fac;;;yes;;;no;;;;;;20;yes;yes;yes;yes;yes;;;no;;;;;;;;no;;;;;;;no;;;et ben j'écris souvent en abrégé. j'aime bien abrégé les choses quand j'écris;15/04/2008 20:12
cmr-slr-c001-p0038;m;18;;yes;yes;;;;yes;yes;;;;yes;;;;;;yes;;;lyc;g;sans;97426;97426;more5;10to20;yes;tsjours;regul;regul;rare;0;1;2;3;0;;yes;;yes;yes;;;;yes;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;;;2;yes;yes;yes;;;;;no;;;;;;;;yes;yes;;;;;ecole et maison;yes;pour des petits mots;0692802371,0692703550,0692384876,0627588497,0692306437,0692104912,0692320152,0692470124,0692629645,0692287565,0692157504,0693405343;le plus court possible pour eviter de prendre trop de credit. Mais quand meme assez comprehensible. Lorsque j'ai de la place j'essais d'ecrire le plus disctinctement possible.;15/04/2008 20:53
cmr-slr-c001-p0039;f;17;;;yes;;;;;yes;;;;;yes;;;;;yes;;;col;p;sans;97490;97490;1to3;less5;no;jms;jms;regul;jms;3;2;1;0;0;;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;diff;;yes;yes;;;yes;;yes;yes;;;1;;yes;;;;;;no;;;;;;;;no;;;;;;;no;;692167342;J'écris des sms de manière simple et lisible en essayant d'abréger le plus possible en mélangeant créole et français le message ne comprenant que cent soixante caractères je vais toujours au bout.;16/04/2008 06:48
